Shop / Listing,Listing Age (Days),Total Views,Daily Views,Est. Sales,Price,Est. Revenue,Hearts
"SewistCAD:4305 PDF Jacket Sewing Pattern - S-M-L-XL or Made to Measure Sewing Pattern PDF Download
sewing pattern, sewing patern pdf, women sewing pattern, woman sewing pattern, jacket pattern, cardigan pattern, supply",2042,16510,8.1,414,$10.98,"$4,547",1429
"NancyMahoneyDesigns:Rainbow Stars quilt pattern (PDF digital download)
Nancy Mahoney, quilt pattern, quilting, traditional quilt, patchwork quilt, paper pieced, star blocks, digital pattern, PDF quilt pattern, scrap quilt, sewing, lap quilt, scrappy quilt",1414,17116,12.1,429,$10.00,"$4,290",397
"EvelynAndPeter:The Summer Path Cardigan PDF DIGITAL DOWNLOAD Crochet Pattern, Women's Summer Crochet Cardigan Pattern, Easy Crochet Top Crochet Pattern
the summer path, summer path cardigan, evelynandpeter, lion brand yarn, summer cardigan, summer crochet, easy crochet, beginner crochet, crochet pattern, PDF crochet pattern, long summer cardi, summer top, crochet top",1053,23046,21.9,762,$5.50,"$4,191",1401
"TreeHousePatternsUK:Leather pattern PDF, DXF for evening purse, pattern for shoulder bag
clutch bag pattern, evening bag pattern, leather purse DXF, small purse pattern, treehousepatternsUK, women purse pattern, leather pattern, leather bag pattern, purse pattern, leather purse PDF, leather wallet PDF, leather clutch pdf, shoulder bag pattern",242,9327,38.5,211,$18.57,"$3,919",579
"ToyPatternsUA:PDF Pattern and Step By Step Tutorial for Ocean Baby Mobile. Felt Mobile DIY. Ocean and Coastal Felt Toys Sewing Pattern. Nursery Decor.
baby mobile pattern, felt mobile pattern, sewing pattern pdf, mobile tutorial, baby mobile diy, ocean animal pattern, mobile baby svg, sea animals, ocean animals, felt toys pattern, nursery mobile pdf, crib mobile pattern, coastal pattern pdf",484,9514,19.7,215,$18.00,"$3,870",545
"notyourcherryDESIGNS:Halter Crop Top PDF Sewing Pattern | Size UK2-14 | A4, US Letter, A0
women sewing pattern, PDF sewing pattern, easy sewing pattern, beginner pattern, crop top, halter top, top sewing pattern, diy crop top, sewing tutorial, y2k sewing pattern, trendy PDF pattern, girls sewing pattern, easy crop top",1143,16931,14.8,560,$6.63,"$3,715",2661
"lucieheaton:Bird House Sampler / PDF Cross Stitch Pattern
Lucie heaton, counted cross stitch, cross stitch pattern, pdf chart download, cross stitch chart, cross stitch birds, bird house, spring cross stitch, cross stitch sampler, cross stitch cushion, cross stitch cards, pretty cross stitch",2228,19908,8.9,658,$5.53,"$3,640",1231
"BilberryWoods:Felt Christmas harvest mouse hanging ornament PDF photo sewing tutorial
mouse sewing PDF, harvest mouse, Christmas ornament, Christmas felt Mouse, felt mouse, felt sewing pattern, Christmas felt deco, mouse, felt mouse deco, hanging mouse, santa's hat, miniature mouse, festive felt hat",1974,10097,5.1,334,$9.15,"$3,057",607
"BuckandBloomPatterns:Oak Cadet Hat PDF Sewing Pattern, Sizes Baby to Adult - Instant Download
Brimmed Hat PDF, DIY Brimmed Hat, cadet hat sewing, pdf sewing pattern, kids sewing pattern, baby sewing pattern, adult hat sewing, army hat sewing, baseball cap sewing, diy clothing, diy hat sewing, hat making tutorial, millinery tutorial",745,10183,13.7,337,$8.67,"$2,922",842
"shersmemorybears:Memory Pillow Pattern, Keepsake pillow PDF, Instant Download Instructions.
shirt cushion, pillow shirt, shirt pillow, Keepsake pillow PDF, Memory Pillow, Keepsake Pillow, Pillow Pattern, Pillow with collar, DIY Memory Pillow, Memory Shirt, Shirt to pillow, directions pillow, how to make pillow",2605,12394,4.8,639,$3.99,"$2,550",239
"WardrobeByMe:Shirt Sewing Pattern • PDF Sewing Pattern • Toddler • Children •  kids sizes 3-12Y • Video tutorial • Easy Tropical shirt pattern
sewing pattern, sewing pattern PDf, PDF pattern, kids sewing pattern, sewing pattern kids, Kids PDF sewing, pattern sizes 3-12Y, Kid's Tropical Shirt, Tropical Shirt, Kids shirt pattern, easy sewing pattern, shirt sewing pattern, Easy tropical shirt",1426,7238,5.1,239,$9.14,"$2,184",546
"SweetRedPoppy:Baby Burp Cloth PDF Pattern
PDF Sewing pattern, pdf sew pattern, baby sewing, baby shower gift, baby patterns, easy baby pattern, easy sewing pattern, burp cloth pattern, burp cloth sewing, burp cloth PDF",1332,17227,12.9,888,$2.00,"$1,776",434
"LuisaPatterns:Women top pattern | Pdf sewing pattern | Puffed Sleeve Peplum tie Top pattern | Tie top pattern | Top sewing pattern | Shirt sewing pattern
Pdf sewing pattern, Top Sewing pattern, Women shirt, sewing tutorial, Womens pattern, Blouse pattern, Crop top pattern, Easy sewing pattern, Vintage pattern, tunic sewing pattern, Puff sleeve pattern, Puffed Sleeve Top, tie top pattern",345,7373,21.4,244,$7.10,"$1,732",878
"ToysikiShop:Amigurumi Jellyfish crochet pattern PDF - Easy pattern DIY crochet cute keychains
DIY ocean charm, Crochet jellyfish, Mini gift keychains, Amigurumi Jelly, Crochet tutorial, Easy pattern, Handmade sea animal, Keepsake friends, Car accessories, Knitted octopus, Digital file Ukraine, Instant download PDF, Hanging plush toy",1498,8468,5.7,280,$6.00,"$1,680",937
"SeaminglySmitten:Women's Vest pdf sewing pattern, vest sewing pattern seamingly smitten, fur vest pdf pattern, winter vest pdf sewing pattern for women
womens vest pattern, outerwear pattern, fur vest pattern, womens winter vest, winter coat, jacket pdf pattern, reversible vest, seamingly smitten, winter sewing, christmas vest, easy sewing pattern, womens sewing, sewing patterns",4133,5386,1.3,178,$8.00,"$1,424",225
"CrochetHoneyBear:Sea Turtle Crochet Pattern Easy PDF Download Plushie Amigurumi Patterns Turtle Pattern Baby Sea Turtle Crochet Patterns Beginner
turtle crochet, turtle pattern, sea turtle crochet, sea turtle, turtle plushie, crochet pattern, crochet patterns, pdf download, turtle patterns, easy crochet, sea turtle pattern, sewing pattern, amigurumi crochet",162,5851,36.1,193,$6.82,"$1,317",669
"SediSewPatterns:Bohemian Skirt Sewing Digital Pdf Pattern | Elastic Waist Skirt | Tiered Skirt | Trendy Skirt  US 0-18 | UK 4-22 | EU32-50 |
elastic skirt sew, maxi skirt pattern, gathered pattern, modest pattern, easy skirt pattern, beginner pattern, beginner sewing, pdf sewing pattern, sewing skirt, skirt pattern, holiday sewing, modern sewing, woman skirt pattern",295,5156,17.5,170,$7.00,"$1,190",696
"MbLeatherTurkey:PDF Pattern Dog Harness , Dog Collar Template, Template Digital
leather template, leather pattern, PDF pattern, PDF template, pdf file, DIY PDF, leather DIY, dog harness pattern, dog harness template, dog collar pattern, dog collar template, dog harness diy, harness",1106,6611,6,341,$3.28,"$1,118",386
