Shop / Listing,Listing Age (Days),Total Views,Daily Views,Est. Sales,Price,Est. Revenue,Hearts
"CreativeJamCo:DIGITAL Brain Dump Planner, To Do List Printable, ADHD Daily Planner, Priority Matrix Template, Work Day Productivity, GoodNotes Notability
Brain Dump, Brain dump printable, to do list printable, adhd brain dump, adhd planner, adhd to do list, brain dump template, brain dump planner, daily to do list, to do list template, digital planner, digital to do list, digital brain dump",812,9222,11.4,305,$5.96,"$1,817",446
"BrianBrainStudio:Brain Candy Bucket
Trick or treat, blow mold, bucket, pail, barrel, halloween, brain, eyeball, basket, retro, brain bucket, easter, easter basket",928,3592,3.9,67,$25.00,"$1,675",471
"JMPathfinders:Second Brain, Knowledge Hub, Notion Bundle, PARA, Note Taking, Productivity Planner, Life Planner
note taking template, digital planner, digital notebook, life planner, second brain, para, notion template, study notes, notion notes, research notes, note organizer, project management, knowledge base",57,3028,53.1,29,$57.50,"$1,667",127
"TheFeelGoodBug:Notion Second Brain Work Manager Notion template Project Planner Eisenhower Matrix Notion To do Notion Business planner notion calendar Dark
notion planner, Notion second brain, notion dashboard, notion business, Notion manager, notion template, notion designer, Notion Task Planner, Notion Ultimate, 2025 Notion Planner, Notion Work Planner, Notion Productivity, PARA Method",615,3669,6,83,$19.99,"$1,659",164
"NurseNotesPRN:Nurse Brain Report Sheet
RN, Registered nurse, Report sheet, nurse, nurse life, ICU, Cardiac nurse, Oncology nurse, adult nurse, Nurse brain, Nurse report sheet, Medsurg nurse, nursing student",1326,20905,15.8,1078,$1.50,"$1,617",398
"kinguru:Subconscious Mind. Brain Waves Print. Law of Attraction. High Resolution Digital Download
Law of attraction, Energy frequency, elevate vibration, manifest abundance, frequency healing, vibration energy, vibration chart, frequency vibration, nikola tesla, brain waves print, Mind chart, subconscious mind, albert einstein",1036,5339,5.2,176,$8.62,"$1,517",313
"JMPathfinders:Second Brain, Knowledge Hub, Notion Bundle, PARA, Note Taking, Productivity Planner, Life Planner
note taking template, digital planner, digital notebook, life planner, second brain, para, notion template, study notes, notion notes, research notes, note organizer, project management, knowledge base",57,2326,40.8,22,$57.50,"$1,265",137
"EcomsAgency:One Day Everything Change Shirt, Custom Brain Cancer Awareness Shirt, Brain Tumor Shirt,Gray Ribbon,Cancer Support Squad,Cancer Warrior Gift
brain cancer shirt, Cancer Survivor Gift, Brain Cancer Gift, Awareness Month, Brain Cancer Warrior, In May We Wear Gray, Gray Ribbon Shirt, go gray in may, may awareness shirt, brain tumor shirt, Brain Cancer Month, gray awareness shirt, Grey Cancer Ribbon",359,2362,6.6,48,$20.00,$960,98
"EternalNightBoutique:Brain Necklace - Brain Pendant - Doctor Gift - Science Gift - Horror Brain - Zombie Brain
gothic necklace, pastel goth, nu goth, gothabilly, zombie brain, doctor gift, science gift, brain necklace, brain pendant, silver brain, medical gift, horror brain, halloween necklace",2678,2395,0.9,60,$13.99,$839,387
"LakeHouseDesignArt:My Brain Is Like 80% Song Lyrics Sweat, Hoodies Sweatshirt, Music Lover Sweatshirt, Lyrics Sweatshirt,Music Lover Hoodie, Graphic Sweatshirt
handmade sweatshirt, Lyrics Sweatshirt, Music Lover Hoodie, Graphic Sweatshirt, Music Lover Sweat, My Brain Is Like, Song Lyrics Sweat, Graphic Hoodie, Lyrics Hoodie, Gildan Sweatshirt, mothers day gifts, valentines gifts",1242,1538,1.2,24,$33.09,$794,82
"DentalDIY:Brain Pin, Enamel Pin, Organ Pin, Medical Pin, Neurology Pin, Neurologist Pin, Healthcare Pin, Gifts for Medical
brains, pharmacy pin, med pin, neurology pin, brain pin, brainpin, Neurologist pin, neurology gift pin, healthcare pin, medical gift pin, medical pin, neurology, anatomy pin",1707,2220,1.3,55,$14.00,$770,294
"jddesignonline:ultimate second brain notion template • PARA method • GTD system • digital planner, productivity dashboard, task & project manager
all-in-one notion, advanced notion, productivity easy, adhd notion, all in one notion, planner notion, 2025 notion, notion life planner, notion aesthetic, ultimate planner, notion budget, notion goal tracker, second brain",125,1305,10.4,17,$44.51,$757,38
"TotallyGlamCo:ANIMATED + STATIC EMOTE | Brain emote, Please use me, Animated Please use me Emote, Please use me Emote, please use me brain Emote
animated emote, twitch emote, emote, twitch animation, twitch, discord, animation, gif emote, stream emote, gif, please use me, please use me emote, brain emote",732,5509,7.5,284,$2.50,$710,651
"AnatomyArtGallery:Lateral Brain Neurology Human Anatomy Vintage Art Print Medical Illustration Gift for Neurologist
anatomy art, anatomy print, medical art, greys anatomy, human anatomy, medical model, brain art, neurologist gift, neurology art, brain anatomy art, vintage brain art, vintage medical art, lateral brain art",1798,1972,1.1,49,$12.00,$588,161
"USAcustomDesign:Brain Cancer Shirt, Brain Tumor Awareness Shirt, Brain Cancer Team Shirt, Brain Cancer  Gift, Gray Ribbon Shirt, Custom Brain Cancer Shirt
Awareness Shirt, Motivational Shirt, Brain Cancer Shirt, Brain Tumor shirt, Brain Cancer Team, Brain Cancer  Gift, Gray Ribbon Shirt, Custom Brain Cancer, Brain Cancer walk, Brain Tumor warrior, Brain Cancer Support, Brain Cancer women, Brain Tumor week tee",175,1458,8.3,33,$16.00,$528,35
"RobMakeStuff:Sliding Number Tile Puzzle | Brain Teaser Game | 3D Printed 8, 15, and 24 Puzzles
sliding puzzle, number tile puzzle, brain teaser game, mental stimulation, customizable toy, gift, rubiks cube, 2D puzzle, kids game, comfortable, smooth sliding, pocket size, 3D printed puzzle",677,1157,1.7,26,$15.99,$416,31
"VitArtPrints:Fight or Flight Response Brain Anatomy Psychology Therapy Office Decor Therapy Office Art DBT Counselor office decor Anxiety Psychology
mental health, therapy print, psychologist print, School psychologist, Brain anatomy poster, office decor, trauma poster, brain poster, psychology therapist, school counselor, Growth Mindset, Cognitive Distortion, Therapy Tools",998,1774,1.8,91,$4.00,$364,132
"GetMadeinLA:Acrylic Anatomy Brooch Pin // Lung // Brain // Milagros // Charm // Votive // Ex-Voto // Physiological // Anatomical // Medical
get made, get made in LA, milagros, charm, anatomy, ex voto, superstitions, votive, lung, good luck charm, bruja brooch, lung brooch, lung pin",2548,756,0.3,17,$18.00,$306,114
"CheekyResiArt:Custom Small Liquid Brain Skull
resin, skull, skulls, skeleton, liquid, brain, brains, snowglobe, skull art, death, goth, gothic, spooky",803,784,1,17,$18.00,$306,73
"LivelyMelody:My Brain Has Too Many Tabs Open Waterproof Glossy Sticker, ADHD Sticker, Neurodivergent Vinyl Stickers, ADHD Awareness Decal, ADHD Kids Gift
adhd, hyperfocus, adhd awareness, Neurodiverse brain, adhd sticker, Adhd symptoms joke, anxiety sticker, sarcastic stickers, adhd gifts, neurodiverse sticker, autism sticker, spectrum stickers, funny sticker",891,1180,1.3,60,$4.99,$299,385
"CriticalCareRNCo:ICU Day Report Sheet, ICU Day Brain, Critical Care Nursing, 0700-1900
Critical Care RN, Digital Download, RN, Registered Nurse, Critical Care, ICU, Nursing, Report Sheet, Brain, Change of Shift, AM, Day Shift",1501,3665,2.4,189,$1.49,$282,82
"NeyaStickerShop2:My brain has too many tabs open ADHD sticker, Mental health matters sticker, Brain stickers, funny sticker, laptop decals, tumbler decal
sarcasm stickers, water bottle sticker, funny sticker, laptop decals, Mental health, my brain has, too many tabs open, ADHD sticker, autism sticker, coworker sticker, hydroflask stickers, tabs open sticker, neya sticker shop",209,1365,6.5,70,$3.98,$279,202
"ChristieStitches:Brain, Halloween (2 prints) surgical scrub bouffant hat
",2095,589,0.3,12,$22.00,$264,32
"SapphireCreationsAU:Printable Brain Dump Journal, Thought Organizer, Brain Dump Productivity Planner, ADHD Thought Journal, Organization planner,
Brain Dump, Brain Dump Printable, To Do List Printable, Adhd Brain Dump, Adhd Planner, Adhd to Do List, Brain Dump Template, Brain Dump Planner, Daily to Do List, To Do List Template, Productivity Planner, Work Day Planner, Priority Matrix",308,1929,6.3,99,$1.92,$190,99
"CharmedMystique:Editable Brain Dump Templates, Printable Guided Planning Worksheets, ADHD Productivity Bundle, To Do List Task Tracking in A5, A4, US Letter
adhd organization, productivity planner, priority matrix, adhd planner, adhd to do list, brain dump, brain dump planner, adhd brain dump, work day planner, to do list template, daily to do list, weekly checklist, brain dump template",64,1867,29.2,96,$1.75,$168,125
"SquishysStudioShop:Smooth Brain Magikarp Stickers | Kawaii Dumb Magikarp Stickers | Kawaii/Funny/Cute Stickers | Laptop/Water Bottle Stickers
gifts for friends, funny stickers, stickers, kawaii stickers, cute stickers, cute gifts, vinyl stickers, funny gifts, kawaii gifts, pokemon stickers, magikarp, smooth brain, pokemon",571,816,1.4,42,$3.89,$163,203
"PlannerGate:Brain Dump Printable, Thought Organizer, A4, A5, Letter, Printable PDF
brain dump printable, adhd brain dump, anxiety worksheet, organize my thoughts, mind declutter, brain dump insert, adhd planner, brain dump template, a4, a5, letter",1026,1945,1.9,100,$1.57,$157,144
