Shop / Listing,Listing Age (Days),Total Views,Daily Views,Est. Sales,Price,Est. Revenue,Hearts
"MyPartyShopCo:Mini Graduation Gift Set,  Trinket Dish for Graduate, Bulk Grad Gift Set,  Gift for College Grad, High School Grad Gift, Gift for Her
gift for her, Gift for woman, Graduation gift, College Grad Gift, high school grad, high school gift, Mini grad gift, 2024 Graduation, Gift for Daughter, nurse graduation, bulk return gift, bulk graduation gift, ring dish gift",1572,1784,1.1,33,$25.00,$825,43
"EngravedMementoCo:Straw Topper For Stanley Tumbler Anniversary Gift For Her Birthday Present Valentine Gift Mothers Day Teen Girl Cute Rose Heart Straw Cover
Straw Topper, Stanley Tumbler, Anniversary Gift, Gift For Her, Birthday Present, Mothers Day, Valentine Gift, Teen Girl, Cute Rose Topper, Heart Straw Cover, Stanley Straw, Tumbler Straw, Topper Cover",442,4140,9.4,137,$6.00,$822,269
"GiftGoddessCo:Engagement Wine Gift Bag/ pairs well with getting engaged /bride gift /wedding gift /engagement gifts for couples / wine tote / gift for her
wine bag, gift bag, pairs well with, wine tote, wine tag, gift from parents, wine, gift for her, bride gift, engagement gift, just engaged, for couples, engaged",1046,2367,2.3,78,$9.99,$779,70
"NorMorGifts:Personalized gifts, Gift for her, Anniversary gifts, Sympathy gift, Buy a gift, Gifts idea, Gift baskets, Gifts for him, Housewarming gifts
Baby shower, Hygge gift box, Gift idea, Sending hugs, Sympathy gift, Gift for men, Gift for employee, Corporate gift, Anniversary gifts, Gifts for her, Personalized gifts, Buy a gift, Housewarming gifts",648,1388,2.1,13,$58.00,$754,53
"NikiMoonBoutique:Self Care Gift Box For Women – Cozy Gift Basket With Blanket Hug in a Box Encouragement Gift Box Care Package for Her Holiday Gift for Her
blanket gift box, care package for her, cozy gift, encouragement gifts, care package, friendship gift, gift basket for her, gift box for friend, gift for her, holiday gift for her, hug in a box, hygge gift box, gift box women",54,1467,27.2,15,$50.00,$750,47
"QUABOXES:FALL IN LOVE Gift Box | Autumn Coffee and Candle Set | Cozy Fall Gift for Her
fall gift box, autumn gift set, cozy fall gifts, handmade ceramic mug, fall-themed gifts, chai tea candle, seasonal gift box, gifts for her, autumn coffee set, cozy gift ideas, fall socks gift, Thanksgiving gift, Christmas Gift Box",235,1291,5.5,14,$49.00,$686,36
"Artsncraftsbygifts:Personalized Luxurious Soft Touch Rose Gold Pen, Gift Pens for Women, Best Friends Gift, Wedding Favors, Fancy Custom Pen, Gift for Her
Rose Gold Pen, Gift Pen, Gift Pens for Women, Ballpoint Pens, Best Friends Gift, Fancy Custom Pen, Engraved Pen, Personalized Pen, Wedding Favors, Wedding Pens, Christmas Gifts, Gift for Her, Gift for Dad",629,2942,4.7,151,$4.05,$612,68
"ArinnaGifts:Classy Gift Basket for Women | Cozy Gift Box with Blanket, Socks, Candle | Self Care Gift Box, Care Package, Gifts for Her for Any Occasion
Gift Box, Hygge Gift Box, Gift Baskets, Gift for Women, Self Care Package, Care Package for Her, Gift With Blanket, Gift Box for Women, Get Well Gifts, Thinking of You Gift, Get Well Gift Box, Gifts for Her, Holiday gift box",557,959,1.7,7,$76.00,$532,39
"CraftingKrissi:40oz Hot Cocoa Gift Cup, Christmas Hot Chocolate Gift, Holiday Tumbler Gift Set, Christmas Gift for Her, Christmas Cocoa Gift
Hot chocolate gift, Christmas gift set, Hot Chocolate Basket, Chocolate basket, Hot cocoa 40oz, 40oz set hot cocoa, Gift for her, Holiday gift for her, Christmas gift box, Thank you gift, Hot chocolate, Christmas Gifts, Gifts for family",518,767,1.5,7,$55.99,$392,7
"AvritOliverDesigns:Custom Name Personalized Wrapping Paper, Custom Wrapping Paper, Gifts for Her, Wrapping Paper for Gifts, Custom Gift Wrap, Gift Wrap Roll
birthday gift, christmas gift wrap, christmas paper, christmas wrapping, custom gift wrap, gift tags, gift wrap, gift wrapping paper, gifts for her, holiday gift wrap, personalized gift, wrapping paper, wrapping paper roll",119,684,5.7,14,$22.00,$308,30
"NaturalSucculents:Friend Hygee Gift Box, Friend Birthday Gift, Care Package for Friend, Hug In A Box, Cozy Care Package Best Friend, Gift For Her
gift for women, gift for her, birthday gifts, Birthday Gift Box, Hygee Gift Box, Friend Birthday, gift set for her, grieving gift, sending hugs, Self Care, Cozy Care Package, Hug In A Box, Friend Gift Box",42,573,13.6,9,$34.00,$306,15
"RusticZebraBoutique:Holiday Gift Box, Christmas Gift Basket For Women, Gift For Her, Winter Box With Blanket, Gifts For Girlfriend, Best Gifts For Her, Spa Gift
Best Gifts For Her, Winter Gift Box, Spa Gift For Her, Holiday Basket, Box With Blanket, Christmas Gifts, Gifts For Girlfriend, Holiday Gift For Her, Cozy Gift Box, Gifts For Mom, Gifts for Sister, Christmas Basket, Last Minute Gift",169,566,3.3,3,$99.00,$297,4
"SplashofSunshineUS:Happy Mother's Day Gift Box, Gift for Mom, Mother's Day Gift Basket, Gift Box for Women, Gift for Her, Care Package for Her
Mothers Day gift, happy mothers day, mom gift basket, care package for mom, gift basket for mom, personalized gift, gifts for her, gift box for women, best mom ever gift, first time mother, care package for her, thoughtful gift, send love and hugs",16,570,35.6,7,$35.88,$251,20
