Shop / Listing,Listing Age (Days),Total Views,Daily Views,Est. Sales,Price,Est. Revenue,Hearts
"DesertHippieShop:Indian Agate Bracelet, Stone of Serenity, Anxiety Relief Crystal, Stretchy  Crystal  Bracelet, Indian Agate Jewelry, Indian Agate Bracelets
indian Agate, Crystal Bracelet, Crystal Bracelets, Beaded Bracelet, Calming crystal, healing crystal, Indian Agate Jewelry, Agate Jewelry, Crystal Jewelry, Crystal for Anxiety, Crystal for Stress",1388,6442,4.6,161,$12.99,"$2,091",395
"MagicEmbroideryStore:Anxiety Embroidery Design, 4 sizes, Instant Download
embroidery design, digital embroidery, machine embroidery, embroidery download, embroidery file, inspirational pes, motivational jef, positive embroidery, trendy embroidery, modern embroidery, mental health, anxiety embroidery, skeleton hand pes",322,8125,25.2,419,$4.55,"$1,906",1422
"CounsellorCronan:Anxiety statement flashcards, affirmation cards, grounding technique, therapy office decor, self care cards, social psychology, management
calming corner, affirmation cards, positive affirmation, counsellorcronan, DBT, coping strategies, anxiety affirmations, coping skills, therapy worksheets, psychology, therapist decor, anxiety journal, self growth",1179,10467,8.9,346,$5.11,"$1,768",518
"SkousenFondue:Anxiety T-Shirt
Ed Edd and Eddy, Cartoon Classic, Xanax, Faces of Anxiety, Vintage Xanax shirt, Nostolgia, Jawbreakers, Funny T shirts, Humor, The perfect gift, WTF, lil peep, Gothboiclique",878,3248,3.7,67,$21.99,"$1,473",242
"BBCoutureArt:Pocket anxiety buddy
sensory, pocket friend, buddy, Health, mental health, Panic attack, autism, depression, anxiety, kid, gift for girl, gift for boy, gift",1410,13668,9.7,289,$5.00,"$1,445",1163
"CrazyCraftsandCurls:Marble Fidget/Fidget toy/ Anxiety Fidget/cotton fidget
crochet, fidget toys, crochet fidget, cotton, marble, crochet toy, anxiety, stress, fidgets",1410,4759,3.4,157,$7.00,"$1,099",49
"CognicHealth:Grounding Techniques Cheat Sheet, Coping Strategies, Anxiety and Panic Relief, Therapy Worksheet, Psychology Handout (Digital Printable)
grounding techniques, grounding exercises, anxiety panic relief, cbt grounding, dbt grounding, grounding worksheet, cheat sheet, anxiety coping, coping cards, coping skills, coping strategies, psychology health, grounding tools",961,5025,5.2,259,$3.61,$934,312
"FidgetPicksShop:CAT Silicone Picking Pad - Stress and Anxiety Relief - Fidget Pick Toy - Skin Picking, Dermatillomania, ADHD - Gift for Cat Lovers
Silicone Picky Pad, Fidget Pick Pad, Anxiety Relief Pad, Bead Picking Pad, Skin Picking Pad, Dermatillomania Pad, Fidget Toy, Silicone Picker Pad, Fidget Picker Toy, cat picky pad, cat themed gift, cat lover gift, kitty picky pad",151,1558,10.3,32,$22.99,$736,201
"CounsellorCronan:Anxiety journal, Mental Health planner, self care planner, anxiety relief, mental health journal, therapy office decor, psychology, DBT
anxiety relief, counselling resource, social psychology, zones of regulation, PTSD, Bipolar, therapy journal, anxiety, psychologist, mental health, social psychologgy, therapist office, DBT therapy",1391,4070,2.9,134,$5.11,$685,294
"PrettyinPNGco:Let's Do This Before My Anxiety Kicks In PNG | Trendy PNG | Popular PNG | Funny Mental Health Png | Cute Frog Png | Anxiety Quote Png |
trendy png, popular png, trendy sticker png, popular now, mental health png, anxiety png, anxiety kicks in png, anxiety humor png, hilarious shirt png, funny anxiety png, cute frog png, emotional png, frog png",188,4565,24.3,235,$2.83,$665,682
"InspiredByFinn:Anxiety Relief Necklace, Blue Chalcedony Necklace
Blue Chalcedony, Anxiety Necklace, Emotional Balance, Gemstone Necklace, Anger Relief, Kids Blue Chalcedony, Relief from worry, Calms Emotions, Anxiety Jewelry, Stress Relief, Panic Attack, Anxiety Relief, Inspired By Finn",2154,1239,0.6,17,$37.95,$645,57
"LightandSaltDesignco:Happiness chemicals therapy worksheets, Anxiety relief, social psychology, therapy office decor, mental health, happy chemicals, DBT, CBT
DBT workbook, Therapy office decor, BPD, Coping skills, Anxiety, Emotional regulation, CBT worksheets, self esteem, happiness chemicals, school counselor, Happy chemicals, therapy worksheets, DBT worksheets",934,2367,2.5,122,$4.91,$599,149
"TaraMarieJewelry:White Howlite ""Stress & Anxiety""  Sterling Silver or Gold Filled Healing Gem dainty necklace for sensitive skin.  Funny Gift for her
gemstone, funny, metaphysical, white, marble, Tara Marie Jewelry, holistic healing, everyday necklace, jewelry with meaning, stress relief, layering necklace, anxiety, xanax",926,1028,1.1,14,$39.00,$546,55
"TherapyToolsForAll:Calmer et Contre L'anxiété Anxiety DIGITAL Print French Therapy Counselor Office Psychologist Self-help Mental Health Poster Santé Mentale
anxiety print, poster in french, mental health poster, anxiety relief, anxiety care, anxiety grounding, anxiety aid, french signs, therapy office decor, school psychologist, counseling office, self help, Santé mentale",1012,3522,3.5,181,$2.83,$511,135
"AscendantFireDesigns:Retro Mental health sweatshirt, Anxiety sweatshirt, Mental health matters, Self care crewneck, Therapist shirt, Mental health awareness gift
mental health shirt, social worker shirt, social worker gifts, counselor shirts, mental health matter, health awareness, therapist shirts, anxiety sweatshirt, depression shirt, self care sweater, teacher crewnecks, oversized trendy, mental health tshirt",409,942,2.3,19,$22.39,$425,53
"BBBCustom:Even My Anxiety Has Anxiety Shirt, Sarcastic Shirt, Homebody Shirt, Funny Shirt, Sublimation Shirt, Therapy Shirt, Depression Shirt
Sarcastic Shirt, Homebody Shirt, Funny Shirt, Sublimation Shirt, Therapy Shirt, Depression Shirt, Even My Anxiety, Has Anxiety Shirt, Unisex Shirt, Groovy Shirt, Neurodiversity Shirt, Bleach Shirt, Gift For Anxiety",966,1024,1.1,25,$14.53,$363,88
"ThePickFix:Blue Gemstone Picky Pad - Anxiety Solution, Skin Picking Alternative
Picking Fidget, Skin Picking, Hair pulling, Compulsive picking, fidget toy, pimple popping, Anxiety Relief, picky pad, ADHD fidget, Autism fidget, skin picking relief, Dermatillomania help, bfrb",243,832,3.4,20,$12.99,$260,66
"Super3DPrinterBros:rOWller. Pain stimulation roller containers for anxiety and stress relief. Hand massager.
little ouchies, pain stimulation, stress, anxiety, relief, contractions, hand, massager, adhd, depression, containers, spiky tubes, multi color specials",62,1483,23.9,49,$5.00,$245,79
"AlbatrosArtStore:Healing Stress Anxiety Meditation Grounding Energy Metaphysical Gemstone Men Necklace (Black Cackle Agate & Hematite -6mm- Stone Tube Beads)
necklace, pendant, gemstone necklace, Healing necklace, Stress Anxiety, Meditation necklace, Grounding necklace, Energy necklace, men, mens",1021,435,0.4,6,$39.99,$240,15
