Shop / Listing,Listing Age (Days),Total Views,Daily Views,Est. Sales,Price,Est. Revenue,Hearts
"Zkeebs:Two-Button Clicky Mechanical Switch Fidget Toy w/ Adjustable Wrist Strap, Multiple Color Options | Stim Toy, Stress Relief, ADHD
keyboard, keebs, fidget toy, fidget, switch, stress relief, stim toy, adhd, stim, stress, clicky toy, asmr",706,6072,8.6,313,$3.49,"$1,092",218
"ItsSisterStuff:Dammit Doll, Cincinnati Bengals, stress relief
dammit doll, sports doll, football doll, stress relief, sports fabric doll, football team doll, NFL dammit doll, Cincinnati dammit, Bengals dammit, Cincinnati Bengals, Bengals dammit doll, Cincinnati doll",674,2648,3.9,60,$17.95,"$1,077",115
"ThreeDPrintables:Prickly Pal Stress Relief Toy | Anxiety Distraction Tool | Pocket-Sized Spiky Fidget
Stress relief toy, Anxiety distraction, Pocket fidget tool, Spiky stress relief, Anxiety relief tool, Handheld fidget toy, Calm anxiety gadget, Sensory stress toy, Unique stress gift, Fidget for anxiety, Spiky fidget toy, Anxiety squeeze tool, Stress relief gadget",92,3903,42.4,129,$7.99,"$1,031",220
"ArtisticRainbowSlime:Aromatherapy Dough Sample Slime, Stress Relief, Artistic Rainbow, Slime Shop
slime, stress relief, sensory, relaxing, gift for her, therapy, sensory toy, stress toy, slime shop, artistic rainbow, clear, cloud, aromatherapy",350,5171,14.8,171,$5.49,$939,177
"BirthChart:Adjustable Anxiety FIDGET RING - Spinner Ring - Worry & Stress Relief Ring - Spinning Fidget Jewelry for Women
adhd fidget ring, adjustable ring, anxiety spinner ring, worry ring, stress relief ring, spinning ring, spin ring, fidget jewelry, fidget ring women, womens spinner ring, anxiety ring women, silver spinner ring, silver fidget ring",55,1762,32,24,$37.90,$910,126
"OceanGemsAndMore:Colorful Articulated Starfish - Fun Desk Decor for a Relaxing Workspace | Starfish Toy, Flexible Starfish Gift, Sensory Fidget Stress Relief
3D Printed Starfish, flexible starfish, color shift toy, sensory stress toy, ocean themed decor, bendable starfish, fidget desk toy, 3D printed art, stress relief toy, ocean decor piece, articulated toy, color changing toy, Ocean Gift",124,1766,14.2,36,$24.99,$900,110
"SpiralsAndCircles:Pocket Labyrinth, Breathing Board, Finger Labyrinth, Finger Maze, Hand Labyrinth, Meditation Labyrinth,Mindfulness Tools,Stress Relief Tools
Pocket Labyrinth, Breathing Board, Finger Labyrinth, Finger Maze, Hand Labyrinth, Meditation Labyrinth, Mindfulness Tools, Stress Relief Tools, Wooden Maze, Handheld Labyrinth, Wooden Maze Toy, Wooden Labyrinth, Labyrinth Gifts",844,1568,1.9,25,$34.00,$850,120
"MinimalistWoodworks:Keepsake Therapy Cube-Minimalist Cherry wood Stress Relief Block
wood keepsake, human ashes keepsake, cremains keepsake, pet keepsake, small wooden urn, wood urn, ashes keepsake, calming cube, therapy wood block, cherry woodworking, custom sculpture, bespoke natural, stress relief block",250,1500,6,17,$49.99,$850,22
"FlashyColoring:1000 Adult Mandala Coloring Book | INSTANT DOWNLOAD | Printable Coloring Pages | Adult Mandala Coloring Pages | Stress Relief Coloring Pages
coloring book, coloring page, adult coloring, grayscale coloring, stress relief gift, stress relief, anxiety relief color, anxiety relief, Mandala pages, Adult Mandala pages, Mandala coloring, adult mandala, Mandala color page",414,7847,19,404,$1.99,$804,373
"TheEclecticMystic:Stress Relief & Happiness Oil, Relaxing Crystal flower and Herb Infused Body Oil, Spiritual Gift, Manifest Relaxation Present, Witchy Spell
crystal charged, manifesting oil, anti anxiety, stress relief, witchcraft supplies, conjure spell, happiness gift, witchy crystal herbs, witch potions, manifestation spell, energy clearing, spiritualism, mysticism",384,1772,4.6,40,$16.99,$680,163
"OrigamifashionCo:Pet Moments: Adult Coloring Book Featuring Cute and Cozy Pets in Funny Activities and Hygge Moments for Stress Relief
Coco Wyo, Coloring Book, Adult Coloring Book, Cute Coloring Book, Digital Coloring, Stress Relief, Relaxing Book, Inspirational, Cozy Coloring, Coloring Pages, Girl Coloring Pages, Comfy Days, Cozy Friends",24,3611,150.5,186,$3.30,$614,196
"EarthlyGiftsCo:4MM Gray Jasper Bracelet for Men, Jasper Map Stone Bracelet, Picasso Jasper, Supreme Nurturer, Inner Peace, Emotional Healing, Stress Relief
4mm gray jasper, gray jasper bracelet, bracelet for men, jasper stone, stone bracelet, map stone bracelet, map jasper bracelet, picasso jasper, supreme nurturer, nurturer bracelet, inner peace bracelet, emotional healing, stress relief",1854,1289,0.7,26,$21.00,$546,66
"PocketShellsCharms:Discover Ultimate Stress Relief with complete Yoga Stretch Class Sequence | Instant Download | YOGA | Ideal for both teachers and students |
stretch yoga class, digital yoga class, Yoga PDF download, yoga flow sequence, yoga class planner, stretch stress class, yoga routine, yoga stretch class, yoga for stress, stress relief, yoga pose, yoga class, Gift",699,5377,7.7,277,$1.80,$498,81
"FlowerMoonReiki:Stress Relief Crystal Gift Set, Serenity Aromatherapy Room Spray, Reiki Energy Healing, Calming, Anxiety, High Vibration Self-Care Gift
stress relief gift, crystal infused, crystals for sleep, anxiety crystals, calming crystals, crystals for empaths, amethyst hematite, reiki energy healing, healing crystal kit, stress relief kit, high vibration, aromatherapy gift, thoughtful gift",1603,935,0.6,12,$35.00,$420,93
"EchoSquishyStudio:New!Stress Relief Fufu Squishy Toys Sand Glutinous Crunchy Balls for Adults Under High Stress Squishy crunchy Ball, stress ball Kid-Friendly
stressball, handmade, Squishy, diy, gifts for her, stress relief toys, unique Etsy finds, squishy toy, Crunchy Squishy, Crunchy, Kids gift, Slime, Gift for her",46,1754,38.1,58,$6.99,$405,144
"AHappySpaceCo:Brain Breaks Activities for Kids Cards Mental Reset Cheat Sheet Somatic Therapy SPD ADHD Focus Stress Relief ASD Polyvagal Theory Sensory
brain breaks cards, emotional regulation, Sensory processing, concentration cards, focus cards for kids, ADHD skill cards, Classroom focus, Sensory brain break, Cognitive reset, Mental reset cards, Active learning, school counselor, Stress relief kids",652,1831,2.8,94,$4.25,$399,131
"Pom3Dstudio:Macaron 3D printed clickers - mechanical, fidget, clicky, stress relief
adhd sensory stress, fidget toy, stocking stuffer, Fidget Clicker, Stress Relief, Anxiety Aid, Relaxation Tool, valentine cookie, cupcake pastry, gourmet food, meringue sandwich, sprinkles frosting, Valeria Momo Mattia",67,2486,37.1,128,$2.50,$320,328
"IntuitiveSoulsShop:Miniature Zen Garden Decor Kit, Stress Relief Gift, Sand Garden
Zen garden, spiritual gift, feng shui, spiritual decor, Crescent moon, Zen decor, aesthetic decor, meditation zen decor, meditation zen gift, mini zen garden, miniature zen garden, stress relief gift, gift for creativity",479,707,1.5,16,$19.97,$320,49
"SARASHINELTD:100 Motivational Coloring Pages | Motivational Quotes Coloring | Relaxing Stress Relief | Printable Adult Coloring Page | Instant Download
motivational quotes, adult coloring pages, coloring book, affirmation coloring, i am affirmations, coloring book bundle, positive affirmation, stress relief book, self-care coloring, coloring sheets, adult coloring page, girl coloring pages, stress coloring book",239,1924,8.1,99,$2.91,$288,432
