Shop / Listing,Listing Age (Days),Total Views,Daily Views,Est. Sales,Price,Est. Revenue,Hearts
"GiftCountyShop:Hygge Gift Box For Her With Blanket And Tumbler Cozy Gift Sending Hugs Thank You Gift Set For Women Thinking Of You Gift Basket Sending Love
Gift box for women, gift for her, cozy gift basket, sympathy gift box, thank you gift box, hygge gift box, care package for her, self care package, gift box for friend, hygge gift, best friend gift, personalized gift, christmas gift women",660,3415,5.2,25,$72.63,"$1,816",103
"CindysCozyCorner:10-100 Variety 6x9 BUBBLE Mailer Feathers Clouds Banana Camo Gift Cherry Self Seal Adhesive  Protective  Padded Shipping Supply Lightweight
Self Seal, Padded, Shipping, Supplies, Mailing, 6x9, Bubble Mailer, Mailer, Poly Mailer, designer mailer, Ying Yang",570,7172,12.6,237,$7.60,"$1,801",117
"TimsWoodDesigns:Personalized Vintage/Antique Style Charger Plate - Decorative Plate, wedding anniversary, wedding table decor, server sets, gift for couple
Vintage Plate, Antiqued Charger, Charger Plate, Decorative Plate, Anniversary Gift, Wedding Party Plate, Wedding Decor, Table Setting, for the couple, Wedding gift, Personalized Dining, Charger Plate Gift, Plate for Events",596,3116,5.2,64,$24.99,"$1,599",74
"HausOfSue:Apple Teacher Graduation Gift Card Holder Senior Gift
2022, teacher appreciation, teacher gift, giftcard, appreciation week, teacher, gift card, high school, senior, graduation gift, grad, cardholder, haus of sue",1116,6436,5.8,332,$4.75,"$1,577",358
"TAGREEHOME:Personalized Teacher Appreciation Gift Card Holder, End Of Year Teacher Gift, Gift From Student, Teacher Keepsake, Classroom Gift
Teacher Gift, Teacher Appreciation, Classroom Gift, Teacher Thank you, Gift Card Holder, Teacher Keepsake, Gift for Teacher, Teacher Love, Handmade Gift, School End Gift, Thank you Teacher, End of School Gift, Student Gift",317,3907,12.3,129,$9.98,"$1,287",161
"ICanCrochetThatShop:Printable Funny Gift Tags - Funny Double Sided Gift Tags - Crochet Gift Tags - Crochet Quote Gift Tags - Funny Gift Tags PDF
gift tags, printable gift tags, crochet gift tags, knit gift tags, funny gift tags, humorous gift tags, care tags, crochet care tags, printable care tags, sassy gift tags, handmade gift tags, homemade gift tags, funny crochet tags",102,5008,49.1,165,$5.49,$906,241
"TurnerlyEverAfter:JW Spanish Pioneer Gift Round Labels 2 inch 3 inch No hay vida mejor Printable Stickers Avery Template His & Hers Regalo de precursor
jw labels, spanish jw labels, pioneer gift, jw pioneer gifts, regalo de precursor, jw crafts, jw pdf, jw pioneer school, escuela de precursor, avery round labels, avery stickers, avery template, digital prints",355,3536,10,182,$4.50,$819,89
"TheDesignerTeacher:End of the Year Teacher Gift Card Holder • School Teacher Thank You Gift for Summer From Student
gift card holder, teacher gift card, teacher appreciation, teacher thank you, thank you gift, end of the year gift, teacher gift, end of the year card, teacher card, teacher present, teacher printable, eoy gift, summer teacher gift",684,7053,10.3,363,$2.25,$817,580
"VeeftGift:Hug In A Box, Encouragement Gift, Mom Gift Set, Hygge Gift Box, Thinking Of You Box, Cozy Care Package, Self Care Basket, Blanket Gift Box
hygge gift box, sympathy gift box, gift box blanket, comforting gift, Chemo Recovery Gift, Illness Recovery, Care Package for her, Grief Gift Basket, Sending Hugs, Self Care Gifts, gift basket for her, gift box for her, care package",328,1405,4.3,13,$58.00,$754,45
"NikiMoonBoutique:Self Care Gift Box For Women – Cozy Gift Basket With Blanket Hug in a Box Encouragement Gift Box Care Package for Her Holiday Gift for Her
blanket gift box, care package for her, cozy gift, encouragement gifts, care package, friendship gift, gift basket for her, gift box for friend, gift for her, holiday gift for her, hug in a box, hygge gift box, gift box women",54,1467,27.2,15,$50.00,$750,47
"HyggeGiftsStudio:New Mom and Baby Gift Box for Women After Birth, Baby Gift Basket, Postpartum Care Package, Push Present, Newborn Boys,Girls,Unisex
untiethebow, new mom care package, newborn gift box, coworker baby gift, first time moms gift, mommy and me gift, baby gift set, baby girl gift, new baby girl, baby gift box, baby shower gift, new parents gift box, postpartum recovery",10,1365,136.5,10,$74.54,$745,58
"Giftboxsavvy:Caramel Popcorn Gift Box - Curated Gift Box Basket - Birthday Edible Box - Christmas gift - Welcome Gift Thank You Gift Box - vday gift
xmas gift, birthday gift, handmade gift, caramel popcorn, edible gifts, man gift basket, gifts for women, gifts for men, corporate gift, great gifts, professional gift, valentine gift, hanukkah gift",1240,1186,1,19,$33.19,$631,61
"OneHappyStop:Personalised Birthday Gift Bag, Birthday Gift Bag Girls, Birthday Bags For Her, Birthday Bags, Mum Gift Bag, Wedding Gift, Personalised Bag
weddings, personalized bag, gift bag, personalized gift, gift bags, bachelorette bags, bridesmaid gifts, bridal party gifts, custom gift bags, Christmas bags, Christmas gift bags, groomsmen gifts, birthday bags",153,2314,15.1,119,$4.50,$536,33
