Shop / Listing,Listing Age (Days),Total Views,Daily Views,Est. Sales,Price,Est. Revenue,Hearts
"RealCuteGiftsCo:Difference Maker Personalized Vegan Leather Journal, School Counselor, Mentor Gift, Coach Appreciation, Teacher Thank You Gift Social Worker
mentor appreciation, gifts for teachers, personalized journal, difference maker, social worker gift, boss retirement, leather journal, life coach teacher, promotion doctor, notebook custom, lawyer nurse PT OT, thank you friend, school counselor",373,614,1.6,8,$38.95,$312,8
"HolyHarvestPrints:Aquarius Zodiac Vegan Leather Journal, Personalized Gift for Aquarius Friend, Aquarius Birthday Gift, Astrology Journal|Zodiac Aquarius Gift
Aquarius Notebook, Aquarius Journal, Aquarius Diary, Aquarius Gifts, Zodiac Journal, Zodiac Gifts for Her, Zodiac Gifts Women, Zodiac Aquarius, astrology journal, aquarius birthday, personalized journal, february birthday, gifts for aqaurius",191,266,1.4,2,$58.09,$116,6
"3LittleBirdsGiftStop:Christianity Gratitude Journal Personalized Gratitude Journal for Christian customized Christianity prayer journal custom name gift for her
Christianity journal, Christianity gift, Christian gratitude, Christian prayer, Christian journal, personalized gift, personalized journal, custom Christianity, custom Christian, gift for her, prayer journal, gratitude journal, custom prayer",172,213,1.2,4,$25.00,$100,6
"AdoreArtistryCo:Boss Mentor Superwoman Leather Journal Notebook Mentor Appreciation Bday Thank You Xmas Boss Lady Team Leader Gift for Manager or Supervisor
boss lady journal, boss thank you women, supervisor leader, xmas gift ideas 2024, woman office manager, boss appreciation, mentor journal gift, leather journal bday, leather notebook, difference maker, female boss day, cute mothersday gift, boss retirement gift",164,194,1.2,2,$41.50,$83,10
"EnchantedMemory:Personalized Bible Verse Journal, Christian Inspirational Gift, Christian Gift, Prayer Journal, Spiritual Gift for Women, Psalm 46:10, RU-48
Bible Verse, Inspirational Gift, Christian Gift, Prayer Journal, Spiritual Gift, Gift for Women, Bible Verse Journal, Christian Keepsake, Gift for Christian, Religious Gift, Religious Journal",51,61,1.2,0,$54.98,$0,0
"RaceDayFans:F1 Car Journal - Gifts for Every Fan
",106,119,1.1,2,$29.95,$60,6
"EnchantedMemory:Letters to Daughter Journal from Dad, Father to Daughter Journal, Journal for Daughter, Gift from Dad, Daughter Keepsake Journal DT 07
Journal for Daughter, Daughter Gift Ideas, Letters to Daughter, Daughter Journal, Gift for Daughter, Diary for Daughter, Gift from Dad, Keepsake Journal, Daughter Bday Gift, Daughter Diary, Daughter Keepsake",71,75,1.1,0,$54.98,$0,1
"TheJHStudio:Senior Year High School, Personalized Journal, Back to School Gift, First Day of School, To My Daughter
personalized, keepsake journal, back to school gift, first day of school, leather journal, journal with name, notebook journal, to my daughter, gifts for daughter, senior year, high school",637,521,0.8,8,$33.95,$272,16
"SassyMusketeers:Personalized Graphic Leather Journal for Dad - Custom Memory and Story Notebook - Perfect Father's Day Gift
Personalized Journal, Custom Engraved, Leather Diary, Custom Gift, Dad's Journal, Memory Book, Story Notebook, Father's Gift, Dad's Stories, Keepsake Journal, Engraved Leather, Memory Journal, Father's Day Gift",321,241,0.8,2,$49.95,$100,4
"TheGiftHausCompany:Personalized New Beginnings Journal,  Finally Free, Divorced, Divorce Breakup, Fresh Start, Starting Over, New Chapter, Freedom, Funny Gift
fresh start, new beginnings, fresh start gift, new beginnings gift, self care journal, fresh start journal, new chapter gift, retirement gift, funny notebook, thank fuck it's over, gift for divorcee, starting over, divorce gift",255,190,0.7,2,$39.95,$80,11
